C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/main.py
+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.010     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode: 134 | Epsilon:  0.10 | Reward: -303.79402072612663 | Average Reward: -136.864 | Steps: 32142 | Total Reward: -19977.826540121605|
| Episode: 135 | Epsilon:  0.10 | Reward: -213.44587992878456 | Average Reward: -137.890 | Steps: 32342 | Total Reward: -20191.272420050354|
| Episode: 136 | Epsilon:  0.10 | Reward: -165.01942382691357 | Average Reward: -137.443 | Steps: 32469 | Total Reward: -20356.29184387727|
| Episode: 137 | Epsilon:  0.10 | Reward: -259.6815287347978 | Average Reward: -139.098 | Steps: 32604 | Total Reward: -20615.973372612047|
| Episode: 138 | Epsilon:  0.10 | Reward: -94.92760507153442 | Average Reward: -138.579 | Steps: 32727 | Total Reward: -20710.900977683603|
| Episode: 139 | Epsilon:  0.10 | Reward: -31.596946112153404 | Average Reward: -138.302 | Steps: 32952 | Total Reward: -20742.49792379576|
| Episode: 140 | Epsilon:  0.10 | Reward: -227.04316535150625 | Average Reward: -139.425 | Steps: 33175 | Total Reward: -20969.541089147257|
| Episode: 141 | Epsilon:  0.10 | Reward: -253.5437598870614 | Average Reward: -139.667 | Steps: 33343 | Total Reward: -21223.084849034294|
| Episode: 142 | Epsilon:  0.10 | Reward: -198.76630769430278 | Average Reward: -141.501 | Steps: 33518 | Total Reward: -21421.851156728597|
| Episode: 143 | Epsilon:  0.10 | Reward: -72.18220175064776 | Average Reward: -141.654 | Steps: 33723 | Total Reward: -21494.033358479235|
| Episode: 144 | Epsilon:  0.10 | Reward: 62.95874046113546 | Average Reward: -140.536 | Steps: 34723 | Total Reward: -21431.07461801808|
| Episode: 145 | Epsilon:  0.10 | Reward: -142.41499287099919 | Average Reward: -139.361 | Steps: 34809 | Total Reward: -21573.48961088909|
| Episode: 146 | Epsilon:  0.10 | Reward: -36.730495743066754 | Average Reward: -136.854 | Steps: 34957 | Total Reward: -21610.22010663216|
| Episode: 147 | Epsilon:  0.10 | Reward: -241.8159070871876 | Average Reward: -138.629 | Steps: 35093 | Total Reward: -21852.03601371933|
| Episode: 148 | Epsilon:  0.10 | Reward: 51.62786282649037 | Average Reward: -137.736 | Steps: 35349 | Total Reward: -21800.408150892814|
| Episode: 149 | Epsilon:  0.10 | Reward: -402.70418362612753 | Average Reward: -138.875 | Steps: 35614 | Total Reward: -22203.112334518923|
| Episode: 150 | Epsilon:  0.10 | Reward: -62.348688592531445 | Average Reward: -137.268 | Steps: 35840 | Total Reward: -22265.46102311145|
| Episode: 151 | Epsilon:  0.10 | Reward: -519.5812187739984 | Average Reward: -142.215 | Steps: 35976 | Total Reward: -22785.042241885425|
| Episode: 152 | Epsilon:  0.10 | Reward: -87.3567383328592 | Average Reward: -141.342 | Steps: 36085 | Total Reward: -22872.39898021829|
| Episode: 153 | Epsilon:  0.10 | Reward: -132.97439228086654 | Average Reward: -141.980 | Steps: 36386 | Total Reward: -23005.37337249913|
