+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+-------------------------------------------+
|          Parameter           |                   Value                   |
+==============================+===========================================+
| Layer Type:                  | hopfield_pooling                          |
+------------------------------+-------------------------------------------+
| Loss Metric:                 | mse                                       |
+------------------------------+-------------------------------------------+
| Sequence Length:             | 20                                        |
+------------------------------+-------------------------------------------+
| Learning Rate:               | 0.000                                     |
+------------------------------+-------------------------------------------+
| Target Update Steps:         | 5000                                      |
+------------------------------+-------------------------------------------+
| Optimizer:                   | rmsprop                                   |
+------------------------------+-------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                     |
+------------------------------+-------------------------------------------+
| Scale Q-values with lr       | yes                                       |
+------------------------------+-------------------------------------------+
| Hard or Soft Update          | hard                                      |
+------------------------------+-------------------------------------------+
| Polyak Factor                | None                                      |
+------------------------------+-------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask      |
|                              | Evaluation: False, Hidden dims: [1], mask |
+------------------------------+-------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:  68 | Epsilon:  0.36 | Reward:   0.0 | Average Reward: 1.853 | Steps: 13323 | Total Reward: 126.0|
| Episode:  69 | Epsilon:  0.35 | Reward:   5.0 | Average Reward: 1.899 | Steps: 13659 | Total Reward: 131.0|
| Episode:  70 | Epsilon:  0.35 | Reward:   0.0 | Average Reward: 1.871 | Steps: 13774 | Total Reward: 131.0|
| Episode:  71 | Epsilon:  0.35 | Reward:   0.0 | Average Reward: 1.845 | Steps: 13889 | Total Reward: 131.0|
| Episode:  72 | Epsilon:  0.34 | Reward:   0.0 | Average Reward: 1.819 | Steps: 14004 | Total Reward: 131.0|
| Episode:  73 | Epsilon:  0.34 | Reward:   5.0 | Average Reward: 1.863 | Steps: 14340 | Total Reward: 136.0|
| Episode:  74 | Epsilon:  0.33 | Reward:   2.0 | Average Reward: 1.865 | Steps: 14528 | Total Reward: 138.0|
| Episode:  75 | Epsilon:  0.33 | Reward:   6.0 | Average Reward: 1.920 | Steps: 14918 | Total Reward: 144.0|
| Episode:  76 | Epsilon:  0.33 | Reward:   0.0 | Average Reward: 1.895 | Steps: 15031 | Total Reward: 144.0|
| Episode:  77 | Epsilon:  0.32 | Reward:   0.0 | Average Reward: 1.870 | Steps: 15144 | Total Reward: 144.0|
| Episode:  78 | Epsilon:  0.32 | Reward:   0.0 | Average Reward: 1.846 | Steps: 15257 | Total Reward: 144.0|
| Episode:  79 | Epsilon:  0.32 | Reward:   0.0 | Average Reward: 1.823 | Steps: 15372 | Total Reward: 144.0|
| Episode:  80 | Epsilon:  0.31 | Reward:   0.0 | Average Reward: 1.800 | Steps: 15487 | Total Reward: 144.0|
| Episode:  81 | Epsilon:  0.31 | Reward:   0.0 | Average Reward: 1.778 | Steps: 15602 | Total Reward: 144.0|
| Episode:  82 | Epsilon:  0.30 | Reward:   0.0 | Average Reward: 1.756 | Steps: 15717 | Total Reward: 144.0|
| Episode:  83 | Epsilon:  0.30 | Reward:   0.0 | Average Reward: 1.735 | Steps: 15830 | Total Reward: 144.0|
| Episode:  84 | Epsilon:  0.30 | Reward:   0.0 | Average Reward: 1.714 | Steps: 15945 | Total Reward: 144.0|
| Episode:  85 | Epsilon:  0.29 | Reward:   6.0 | Average Reward: 1.765 | Steps: 16335 | Total Reward: 150.0|
| Episode:  86 | Epsilon:  0.29 | Reward:   4.0 | Average Reward: 1.791 | Steps: 16618 | Total Reward: 154.0|
| Episode:  87 | Epsilon:  0.29 | Reward:   0.0 | Average Reward: 1.770 | Steps: 16733 | Total Reward: 154.0|
| Episode:  88 | Epsilon:  0.29 | Reward:   0.0 | Average Reward: 1.750 | Steps: 16848 | Total Reward: 154.0|
| Episode:  89 | Epsilon:  0.28 | Reward:   0.0 | Average Reward: 1.730 | Steps: 16963 | Total Reward: 154.0|
| Episode:  90 | Epsilon:  0.28 | Reward:   2.0 | Average Reward: 1.733 | Steps: 17151 | Total Reward: 156.0|
| Episode:  91 | Epsilon:  0.28 | Reward:   6.0 | Average Reward: 1.780 | Steps: 17541 | Total Reward: 162.0|
| Episode:  92 | Epsilon:  0.27 | Reward:   0.0 | Average Reward: 1.761 | Steps: 17656 | Total Reward: 162.0|
| Episode:  93 | Epsilon:  0.27 | Reward:   0.0 | Average Reward: 1.742 | Steps: 17771 | Total Reward: 162.0|
| Episode:  94 | Epsilon:  0.27 | Reward:   6.0 | Average Reward: 1.787 | Steps: 18161 | Total Reward: 168.0|
| Episode:  95 | Epsilon:  0.26 | Reward:   6.0 | Average Reward: 1.832 | Steps: 18551 | Total Reward: 174.0|
| Episode:  96 | Epsilon:  0.26 | Reward:   0.0 | Average Reward: 1.812 | Steps: 18666 | Total Reward: 174.0|
| Episode:  97 | Epsilon:  0.26 | Reward:   0.0 | Average Reward: 1.794 | Steps: 18781 | Total Reward: 174.0|
| Episode:  98 | Epsilon:  0.26 | Reward:   0.0 | Average Reward: 1.776 | Steps: 18896 | Total Reward: 174.0|
| Episode:  99 | Epsilon:  0.25 | Reward:   5.0 | Average Reward: 1.808 | Steps: 19232 | Total Reward: 179.0|
| Episode: 100 | Epsilon:  0.25 | Reward:   6.0 | Average Reward: 1.850 | Steps: 19622 | Total Reward: 185.0|
| Episode: 101 | Epsilon:  0.25 | Reward:   2.0 | Average Reward: 1.860 | Steps: 19810 | Total Reward: 187.0|
| Episode: 102 | Epsilon:  0.25 | Reward:   2.0 | Average Reward: 1.830 | Steps: 19998 | Total Reward: 189.0|
