+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
| Episode:  98 | Epsilon:  0.11 | Reward: -131.2063574988644 | Average Reward: -213.558 | Steps:  7341 | Total Reward: -20928.66852416448|
| Episode:  99 | Epsilon:  0.11 | Reward: -146.69013227941934 | Average Reward: -212.882 | Steps:  7421 | Total Reward: -21075.358656443914|
| Episode: 100 | Epsilon:  0.11 | Reward: -116.6858643174741 | Average Reward: -211.920 | Steps:  7506 | Total Reward: -21192.044520761385|
| Episode: 101 | Epsilon:  0.11 | Reward: -175.534480486 | Average Reward: -212.151 | Steps:  7604 | Total Reward: -21367.57900124739|
| Episode: 102 | Epsilon:  0.11 | Reward: -212.45180878067657 | Average Reward: -211.023 | Steps:  7711 | Total Reward: -21580.03081002807|
| Episode: 103 | Epsilon:  0.10 | Reward: -139.70647383143654 | Average Reward: -211.603 | Steps:  7770 | Total Reward: -21719.7372838595|
| Episode: 104 | Epsilon:  0.10 | Reward: -227.0747789888797 | Average Reward: -210.991 | Steps:  7866 | Total Reward: -21946.812062848392|
| Episode: 105 | Epsilon:  0.10 | Reward: -172.82596944906567 | Average Reward: -207.545 | Steps:  7946 | Total Reward: -22119.638032297444|
| Episode: 106 | Epsilon:  0.10 | Reward: -180.89394482801026 | Average Reward: -204.243 | Steps:  8039 | Total Reward: -22300.531977125473|
| Episode: 107 | Epsilon:  0.10 | Reward: -212.47764742298466 | Average Reward: -201.856 | Steps:  8165 | Total Reward: -22513.009624548442|
| Episode: 108 | Epsilon:  0.10 | Reward: -138.72465989295114 | Average Reward: -200.751 | Steps:  8244 | Total Reward: -22651.734284441387|
| Episode: 109 | Epsilon:  0.10 | Reward: -27.500365804717518 | Average Reward: -196.643 | Steps:  8318 | Total Reward: -22679.23465024611|
| Episode: 110 | Epsilon:  0.10 | Reward: -128.1179621934099 | Average Reward: -196.078 | Steps:  8377 | Total Reward: -22807.35261243951|
| Episode: 111 | Epsilon:  0.10 | Reward: -134.37961556475932 | Average Reward: -191.840 | Steps:  8513 | Total Reward: -22941.732228004268|
| Episode: 112 | Epsilon:  0.10 | Reward: -104.03415521717291 | Average Reward: -188.984 | Steps:  8589 | Total Reward: -23045.766383221442|
| Episode: 113 | Epsilon:  0.10 | Reward: -124.43864970344514 | Average Reward: -185.356 | Steps:  8651 | Total Reward: -23170.20503292487|
| Episode: 114 | Epsilon:  0.10 | Reward: -120.23722855937662 | Average Reward: -181.055 | Steps:  8783 | Total Reward: -23290.442261484233|
| Episode: 115 | Epsilon:  0.10 | Reward: -175.6280570681768 | Average Reward: -178.932 | Steps:  8902 | Total Reward: -23466.07031855241|
| Episode: 116 | Epsilon:  0.10 | Reward: -271.83314591152526 | Average Reward: -178.543 | Steps:  9130 | Total Reward: -23737.903464463947|
| Episode: 117 | Epsilon:  0.10 | Reward: -233.2087325133537 | Average Reward: -174.998 | Steps:  9247 | Total Reward: -23971.11219697731|
| Episode: 118 | Epsilon:  0.10 | Reward: -104.66748074797408 | Average Reward: -170.044 | Steps:  9307 | Total Reward: -24075.779677725273|
| Episode: 119 | Epsilon:  0.10 | Reward: -392.5309061758738 | Average Reward: -167.147 | Steps:  9386 | Total Reward: -24468.310583901137|
| Episode: 120 | Epsilon:  0.10 | Reward: -118.13072313845521 | Average Reward: -163.765 | Steps:  9467 | Total Reward: -24586.441307039593|
| Episode: 121 | Epsilon:  0.10 | Reward: -107.62339808182493 | Average Reward: -160.865 | Steps:  9533 | Total Reward: -24694.064705121407|
| Episode: 122 | Epsilon:  0.10 | Reward: -137.61861941368613 | Average Reward: -156.397 | Steps:  9609 | Total Reward: -24831.683324535083|
| Episode: 123 | Epsilon:  0.10 | Reward: -188.02160629557068 | Average Reward: -153.956 | Steps:  9702 | Total Reward: -25019.704930830645|
| Episode: 124 | Epsilon:  0.10 | Reward: -133.9782143953846 | Average Reward: -151.661 | Steps:  9799 | Total Reward: -25153.683145226027|
| Episode: 125 | Epsilon:  0.10 | Reward: -170.33254676460186 | Average Reward: -152.100 | Steps:  9880 | Total Reward: -25324.015691990633|
| Episode: 126 | Epsilon:  0.10 | Reward: -380.2621527368983 | Average Reward: -152.755 | Steps: 10015 | Total Reward: -25704.277844727538|
| Episode: 127 | Epsilon:  0.10 | Reward: -88.33844374957044 | Average Reward: -149.989 | Steps: 10088 | Total Reward: -25792.616288477104|
| Episode: 128 | Epsilon:  0.10 | Reward: -118.3807576143441 | Average Reward: -150.081 | Steps: 10159 | Total Reward: -25910.997046091466|
| Episode: 129 | Epsilon:  0.10 | Reward: -373.3359216404114 | Average Reward: -152.448 | Steps: 10364 | Total Reward: -26284.332967731865|
| Episode: 130 | Epsilon:  0.10 | Reward: -368.83897097872466 | Average Reward: -154.519 | Steps: 10459 | Total Reward: -26653.171938710595|
| Episode: 131 | Epsilon:  0.10 | Reward: -633.2094478209635 | Average Reward: -159.754 | Steps: 10702 | Total Reward: -27286.381386531553|
| Episode: 132 | Epsilon:  0.10 | Reward: -385.72373617568087 | Average Reward: -162.686 | Steps: 11092 | Total Reward: -27672.105122707264|
| Episode: 133 | Epsilon:  0.10 | Reward: -289.9951575021331 | Average Reward: -164.408 | Steps: 11209 | Total Reward: -27962.100280209408|
| Episode: 134 | Epsilon:  0.10 | Reward: -82.20499218876677 | Average Reward: -164.076 | Steps: 11333 | Total Reward: -28044.30527239817|
| Episode: 135 | Epsilon:  0.10 | Reward: -294.37934816957187 | Average Reward: -165.779 | Steps: 11507 | Total Reward: -28338.68462056774|
| Episode: 136 | Epsilon:  0.10 | Reward: -171.04354166459922 | Average Reward: -166.181 | Steps: 11643 | Total Reward: -28509.728162232328|
| Episode: 137 | Epsilon:  0.10 | Reward: -278.90565217060737 | Average Reward: -167.837 | Steps: 11722 | Total Reward: -28788.633814402925|
| Episode: 138 | Epsilon:  0.10 | Reward: -305.04845770499895 | Average Reward: -169.733 | Steps: 11791 | Total Reward: -29093.682272107948|
| Episode: 139 | Epsilon:  0.10 | Reward: -172.71389663071113 | Average Reward: -170.438 | Steps: 11879 | Total Reward: -29266.396168738644|
| Episode: 140 | Epsilon:  0.10 | Reward: -449.5670172590256 | Average Reward: -173.555 | Steps: 11961 | Total Reward: -29715.963185997665|
| Episode: 141 | Epsilon:  0.10 | Reward: -175.39634871048412 | Average Reward: -173.908 | Steps: 12069 | Total Reward: -29891.359534708132|
| Episode: 142 | Epsilon:  0.10 | Reward: -441.26362405535133 | Average Reward: -177.287 | Steps: 12165 | Total Reward: -30332.623158763483|
| Episode: 143 | Epsilon:  0.10 | Reward: -196.76590123353665 | Average Reward: -177.569 | Steps: 12273 | Total Reward: -30529.389059997022|
| Episode: 144 | Epsilon:  0.10 | Reward: -290.39367883067393 | Average Reward: -179.334 | Steps: 12512 | Total Reward: -30819.782738827707|
| Episode: 145 | Epsilon:  0.10 | Reward: -413.3526050551351 | Average Reward: -181.862 | Steps: 12597 | Total Reward: -31233.135343882852|
| Episode: 146 | Epsilon:  0.10 | Reward: -550.4871955364338 | Average Reward: -185.840 | Steps: 12685 | Total Reward: -31783.622539419288|
| Episode: 147 | Epsilon:  0.10 | Reward: -302.4915718819904 | Average Reward: -189.045 | Steps: 13005 | Total Reward: -32086.114111301264|
| Episode: 148 | Epsilon:  0.10 | Reward: -316.5166787858027 | Average Reward: -190.578 | Steps: 13143 | Total Reward: -32402.630790087074|
| Episode: 149 | Epsilon:  0.10 | Reward: -530.3967436064561 | Average Reward: -194.238 | Steps: 13287 | Total Reward: -32933.02753369357|
| Episode: 150 | Epsilon:  0.10 | Reward: -581.06853339082 | Average Reward: -199.116 | Steps: 13363 | Total Reward: -33514.096067084385|
| Episode: 151 | Epsilon:  0.10 | Reward: -436.7426412734543 | Average Reward: -201.901 | Steps: 13459 | Total Reward: -33950.838708357864|
| Episode: 152 | Epsilon:  0.10 | Reward: -423.32278985628903 | Average Reward: -205.096 | Steps: 13559 | Total Reward: -34374.161498214155|
| Episode: 153 | Epsilon:  0.10 | Reward: -202.78797153227052 | Average Reward: -206.232 | Steps: 13688 | Total Reward: -34576.949469746374|
| Episode: 154 | Epsilon:  0.10 | Reward: -407.45404751474916 | Average Reward: -208.369 | Steps: 13772 | Total Reward: -34984.40351726112|
| Episode: 155 | Epsilon:  0.10 | Reward: -469.59612856233167 | Average Reward: -211.828 | Steps: 13856 | Total Reward: -35453.99964582346|
| Episode: 156 | Epsilon:  0.10 | Reward: -359.0918638667451 | Average Reward: -213.982 | Steps: 13953 | Total Reward: -35813.09150969019|
| Episode: 157 | Epsilon:  0.10 | Reward: -341.2858630982962 | Average Reward: -216.503 | Steps: 14090 | Total Reward: -36154.37737278849|
| Episode: 158 | Epsilon:  0.10 | Reward: -424.19864506894606 | Average Reward: -219.375 | Steps: 14216 | Total Reward: -36578.576017857406|
| Episode: 159 | Epsilon:  0.10 | Reward: -413.2531968960401 | Average Reward: -221.974 | Steps: 14294 | Total Reward: -36991.82921475343|
| Episode: 160 | Epsilon:  0.10 | Reward: -379.1860760765067 | Average Reward: -224.498 | Steps: 14374 | Total Reward: -37371.015290829935|
| Episode: 161 | Epsilon:  0.10 | Reward: -363.8637752503773 | Average Reward: -226.526 | Steps: 14493 | Total Reward: -37734.87906608033|
| Episode: 162 | Epsilon:  0.10 | Reward: -265.5006873683633 | Average Reward: -227.783 | Steps: 14601 | Total Reward: -38000.379753448666|
| Episode: 163 | Epsilon:  0.10 | Reward: -299.02723540816805 | Average Reward: -229.198 | Steps: 14693 | Total Reward: -38299.40698885683|
